"nmqm","wfl.gekappt","bj","WL","Zentral","Gebtyp.23","Modern.Boden","Boden.Fak","kue.score.23","bad.score23","Fussboden.Heizung"
11.4,86,1983,"gute",1,"anderer",0,"einfach",0,0,0
16,75,2003.5,"gute",1,"anderer",1,"gut",3,1,1
12.93,55,1957.5,"gute",1,"Hochhaus",0,"gut",1,0,0
14.36,44,1939,"gute",1,"Wohnblock",1,"gut",0,2,0
14.62,78,1957.5,"gute",1,"anderer",0,"gut",0,1,0
14.36,56,1957.5,"gute",1,"anderer",0,"gut",1,0,0
15.43,94,2012.5,"durchschnittliche",0,"anderer",0,"gut",0,1,1
13.72,82,1957.5,"gute",0,"anderer",0,"gut",0,0,0
14.18,35,1972,"gute",0,"anderer",1,"gut",0,0,0
12.41,90,1972,"durchschnittliche",0,"anderer",0,"wedernoch",0,1,0
12.39,97,1957.5,"durchschnittliche",0,"anderer",0,"wedernoch",0,0,0
14.16,106,1993.5,"durchschnittliche",0,"Wohnblock",0,"gut",0,2,0
13.33,54,1924,"durchschnittliche",0,"anderer",1,"gut",0,0,0
16.85,55,2003.5,"durchschnittliche",0,"anderer",0,"gut",0,0,0
17.83,34,1972,"durchschnittliche",0,"Hochhaus",0,"gut",0,1,0
8.66,86,1918,"durchschnittliche",0,"anderer",0,"gut",0,1,0
17.65,68,1983,"durchschnittliche",0,"anderer",0,"gut",3,0,0
15.61,41,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,1,0
22.37,38,1993.5,"durchschnittliche",0,"anderer",1,"gut",0,0,0
13.99,94,1972,"gute",1,"anderer",0,"wedernoch",0,3,0
17.8,90,1924,"gute",1,"anderer",0,"gut",0,2,0
16.48,48,1957.5,"durchschnittliche",1,"anderer",0,"gut",1,1,0
20.73,160,2012.5,"gute",1,"anderer",0,"gut",3,3,1
13.63,80,1983,"gute",1,"anderer",1,"wedernoch",0,3,0
18.82,57,1924,"gute",1,"anderer",1,"gut",3,0,0
18.99,115,1924,"gute",1,"anderer",0,"gut",2,2,0
18.31,31,1972,"durchschnittliche",1,"anderer",0,"gut",1,0,0
16.51,63,1972,"durchschnittliche",1,"anderer",1,"gut",3,1,0
21.88,63,1993.5,"gute",1,"anderer",0,"gut",2,0,0
12.22,99,1918,"gute",1,"anderer",0,"wedernoch",0,0,0
16.96,69,1993.5,"gute",1,"anderer",0,"gut",3,0,0
22.97,44,1918,"gute",1,"anderer",0,"gut",3,0,0
15.35,58,1918,"gute",1,"anderer",1,"gut",0,1,0
13.1,154,1918,"gute",1,"anderer",0,"wedernoch",0,2,0
15.31,147,2020.5,"gute",0,"anderer",0,"wedernoch",3,3,1
6.9,60,1924,"durchschnittliche",0,"Wohnblock",0,"gut",0,0,0
10.2,90,1957.5,"gute",0,"anderer",0,"gut",0,1,0
12.73,55,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,0,0
13.54,82,1993.5,"gute",0,"anderer",0,"gut",2,0,0
10.55,73,1957.5,"durchschnittliche",0,"Wohnblock",0,"gut",0,0,0
15.89,56,1957.5,"durchschnittliche",0,"anderer",1,"einfach",0,1,0
12.95,88,1957.5,"durchschnittliche",0,"anderer",1,"gut",0,2,0
9.15,48,1957.5,"durchschnittliche",0,"anderer",0,"wedernoch",0,0,0
15.61,90,2003.5,"durchschnittliche",0,"anderer",0,"gut",2,2,1
14.83,58,1983,"durchschnittliche",0,"anderer",0,"wedernoch",1,1,0
19.44,57,1983,"gute",0,"Hochhaus",1,"gut",0,1,0
14.15,88,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,1,0
14.98,84,1972,"durchschnittliche",0,"anderer",0,"gut",3,2,0
11.97,71,1983,"gute",0,"anderer",0,"gut",0,0,0
19.61,51,1972,"durchschnittliche",0,"anderer",0,"gut",3,0,0
13.06,93,1924,"durchschnittliche",0,"anderer",0,"gut",2,1,0
14.85,64,1918,"durchschnittliche",0,"anderer",0,"gut",0,0,0
9.48,77,1972,"durchschnittliche",0,"anderer",0,"gut",3,2,0
12.36,55,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,1,0
15.58,52,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,0,0
13.99,104,1972,"durchschnittliche",0,"anderer",1,"gut",0,1,0
13.96,53,1957.5,"durchschnittliche",0,"Hochhaus",0,"gut",3,0,0
12.3,101,1972,"durchschnittliche",0,"Hochhaus",0,"gut",0,1,1
16.64,68,1957.5,"durchschnittliche",0,"Hochhaus",1,"gut",0,1,0
12.74,84,1972,"durchschnittliche",0,"anderer",0,"gut",3,0,0
15.57,61,1983,"durchschnittliche",0,"anderer",0,"gut",2,0,0
14.6,63,2003.5,"durchschnittliche",0,"anderer",0,"gut",0,2,0
12.29,59,1957.5,"durchschnittliche",0,"Wohnblock",0,"gut",0,0,0
16.11,117,1924,"durchschnittliche",0,"anderer",0,"gut",3,2,1
18.07,81,2020.5,"durchschnittliche",0,"anderer",0,"gut",0,1,1
13.12,65,2003.5,"beste",1,"anderer",0,"gut",0,1,0
12.5,133,1918,"gute",1,"Wohnblock",0,"gut",1,1,0
20.85,59,1924,"beste",1,"anderer",0,"gut",3,2,0
14.23,93,1983,"gute",1,"anderer",0,"gut",0,0,0
19.96,108,1918,"beste",1,"anderer",0,"gut",0,1,0
15.28,36,1972,"gute",1,"Hochhaus",0,"gut",0,1,0
19.5,86,1957.5,"gute",1,"Wohnblock",0,"gut",0,2,0
